Name;Mass (MJ);Radius (RJ);Period (days);Semi-major axis (AU);Discovery method;Disc. Year;Distance (ly);Host star mass (M?);Host star temp. (K)
HD 114762 b;10.98;1.11;83.9151;0.353;radial vel.;1989;132.3;0.83;5673
55 Cancri e;0.02542;0.17;0.736539;0.01544;radial vel.;2004;40.9;0.91;5196
COROT-2b;3.47;1.466;1.7429935;0.02798;transit;2008;650;0.96;5625
COROT-7b;0.018;0.141;0.85359159;0.017016;transit;2009;501;0.91;5259
COROT-9b;0.84;1.05;95.2738;0.407;transit;2009;1500;0.99;5625
HAT-P-1b;0.525;1.319;4.46529976;0.05561;transit;2006;450;1.15;5980
HAT-P-2b;9.09;1.157;5.6334729;0.06878;transit;2007;441.4;1.36;6290
HAT-P-3b;0.591;0.827;2.899736;0.03866;transit;2007;450;0.92;5185
HAT-P-4b;0.671;1.274;3.056536;0.04438;transit;2007;1020;1.26;5860
HAT-P-5b;1.06;1.26;2.788491;0.04075;transit;2007;1100;1.16;5960
HAT-P-6b;1.057;1.33;3.852985;0.05235;transit;2007;850;1.29;6570
HAT-P-7b;1.682;1.491;2.2047372;0.03676;transit;2008;1000;1.47;6441
HAT-P-8b;1.52;1.5;3.0763776;0.0487;transit;2008;750;1.28;6200
HAT-P-9b;0.78;1.4;3.92289;0.053;transit;2008;1600;1.28;6350